name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Mie Baso Barokah 2,"Jalan Babakan Sari No.127, Babakan Sari",-6.9225001,107.651581,OPERATIONAL,4.1,61,"restaurant, food, point_of_interest, establishment",1
Warung Seblak Kayla,"Jalan Babakan Sari No.132, Babakan Sari",-6.9260704,107.6581543,OPERATIONAL,4.4,15,"restaurant, food, point_of_interest, establishment",1
"Ayam Goreng Bumbu Telor ""Teh Usi""","Jalan Kampus II No.5, Babakan Sari",-6.9228476,107.6506896,OPERATIONAL,4,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
my kebab 94,"Jalan Babakan Sari No.11, Babakan Sari",-6.9227455,107.6510844,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
D3R crepes,"Jalan Babakan Sari No.111, RW.07, Babakan Sari",-6.9229398,107.6512413,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dimsum Skuy Babakan Sari,"Jalan Babakan Sari No.113, Babakan Sari",-6.9224123,107.6508169,OPERATIONAL,2,2,"restaurant, food, point_of_interest, establishment",Unknown
La Aroma Martabak Manis & Telor,"3MH2+29J, Jalan Babakan Sari, Babakan Sari",-6.9224161,107.6508892,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie kocok Teras katineung,Jalan Babakan Sari III RT.01/RW.09,-6.922376799999999,107.6506384,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Geprek & Sate Taichan Bang Jack,"Jalan Babakan Sari No.3, kebaktian",-6.922376700000001,107.6506385,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Dimsum 2711, Babakan Sari","Jalan Babakan Sari No.107, Babakan Sari",-6.922376600000001,107.6506359,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
KARAMAT KAFE Babakan Sari,"Prama, Jalan Babakan Sari Kelurahan No.111, Babakan Sari",-6.9223805,107.6508079,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Ikan AMANAH,"toserba prama, Jalan Babakan Sari No.111, Babakan Sari",-6.9223805,107.6508079,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Depot Roti bakar idaman,"Jalan Babakan Sari No.117, RT.12/RW.11, Babakan Sari",-6.922442999999999,107.6510357,OPERATIONAL,Unknown,Unknown,"bakery, store, restaurant, food, point_of_interest, establishment",Unknown
Takoyaki Kenzie,"3MH2+2C8, Jalan Babakan Sari, Babakan Sari",-6.9224546,107.6510983,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
